roi_id,cohort_role,event_reference_cycle,cycleNo,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual
cycle156_rank5_obj4,event,156.0,156.0,1.1694176486761676e-06,3.312100607110098e-07,0.029636111502795215,-0.029636111421748587,1.1581098817351714e-06,0.0003686643530369098,-2.9380091778139416e-05,0.354446682791697,-0.3544466827916969,8.494026693971114e-07,-6.769173159206626e-08,9.100655424975699e-07,-9.442528927093386e-07,1.0938294093783432e-06,0.0003949679819615259,0.01743047815160892,-0.48365364104869385
cycle156_rank7_obj27,event,156.0,156.0,-2.30406095250893e-07,-1.7754235256778481e-07,0.029636111502795215,-0.029636111421748587,-2.417138621918892e-07,0.0007094475527495098,-0.00022363831698213942,0.6401609685059827,-0.6401609685059826,1.6345671615349794e-06,-5.152626824618988e-07,1.5256869009841061e-06,-1.5908840057147063e-07,-2.3696194928269847e-07,0.0006075294473498259,0.03666124738237819,0.4682694358743832
cycle157_rank1_obj1,control,156.0,157.0,6.943482596233164e-08,-9.58273349402373e-08,-0.08884489995781064,0.08884490000785983,-5.424003259010583e-07,0.0008204032600165336,0.00035044361461483047,0.3559130488280139,-0.3559130488280139,1.8902091110782818e-06,8.074220879612755e-07,2.0559174144559116e-06,-3.8929704873152615e-07,2.7206653677141562e-08,0.0009186378516408215,0.14952713252813732,-0.42544224014955095
cycle157_rank4_obj8,control,156.0,157.0,3.036494398978865e-08,2.8927316788417513e-08,-0.08884489995781064,0.08884490000785983,-5.033304439285153e-07,0.0008483611755835338,0.00012818755870563052,0.6416273345422996,-0.6416273345422996,1.9546241485445234e-06,2.953441351466219e-07,2.289721759985935e-06,-3.248820112652847e-07,3.436859449174036e-08,0.0009922202759695214,-0.04278055977955497,0.35340391369660296
cycle157_rank2_obj2,control,156.0,157.0,-8.039591835434622e-07,4.4058546526973464e-07,-0.08884489995781064,0.08884490000785983,3.309936836047355e-07,-0.0004716665363258663,0.00015820427045553048,-0.3583726654577004,0.3583726654577004,-1.086719699694871e-06,3.645026390183296e-07,-1.0215458783236744e-06,3.1120579665093523e-07,-7.683089682218388e-07,-0.00038606042445317847,-0.10047286747186268,0.43032699061967994
cycle157_rank6_obj3,control,156.0,157.0,-3.1005899108199576e-07,-7.213082815501415e-08,-0.08884489995781064,0.08884490000785983,-1.629065088567309e-07,0.00032030983836877725,0.0004352130560780305,-0.21551552260055762,0.2155155226005575,7.379938676016732e-07,1.0027308810924766e-06,8.151591714260837e-07,-1.513507770645609e-06,-2.4501822526560256e-07,0.0003328245280264794,0.20721944022044503,-0.675442240149551
cycle158_rank6_obj3,control,156.0,158.0,8.361202333218057e-08,-6.496980302843802e-08,0.11589997671484187,-0.1158999766925003,6.660090776037617e-08,-0.00010272468543763883,-0.0002982157244775984,-0.3569807411521947,0.3569807411521948,-2.3667767524846865e-07,-6.870890292891877e-07,-9.151398749108136e-07,-1.6898866531743603e-07,-5.62027437961019e-08,-0.000376043484729029,0.05098998662409032,0.4113926929433297
cycle158_rank1_obj2,control,156.0,158.0,-1.5459942103742876e-07,6.465731587341808e-08,-0.16981430899944383,0.1698143090217854,-1.7161053660923316e-07,-0.0006592622448991389,-4.103506776889838e-05,-0.3569807411521947,0.3569807411521948,-1.5189402122476897e-06,-9.454479623241227e-08,-1.4369972458190182e-06,1.113273871681785e-06,-1.2172307980012872e-07,-0.0006520630312262291,-0.6701638595297558,0.37293115448179126
cycle158_rank4_obj8,control,156.0,158.0,-7.090031845489618e-08,-1.0572033256215569e-07,0.11589997671484187,-0.1158999766925003,-8.791143402670058e-08,-0.00047938219359683896,0.0002590862825173016,-0.3569807411521947,0.3569807411521948,-1.1044965740471755e-06,5.969347948269464e-07,-1.022553607618504e-06,6.988302334812708e-07,-6.581888055544822e-08,-0.00047052355613582905,0.08945152508562876,0.12293115448179126
cycle158_rank2_obj1,control,156.0,158.0,6.497388865550407e-07,-4.459670601856747e-08,0.11589997671484187,-0.1158999766925003,6.327277709832363e-07,0.0005143567216149812,-0.00045592807606709845,0.3573049731335196,-0.3573049731335195,1.185077886600979e-06,-1.0504582873514032e-06,1.2670208530296504e-06,-1.524340203826247e-06,7.203413186529379e-07,0.0005641264635439046,0.16637460200870574,-0.2712996147489779
