feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,permutation
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5234375,0.5304383776668729,0.040597143398138066,0.6945259014583225,137
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4327256944444444,0.467813578309927,-0.11652883753169259,0.2582044201134468,138
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.46354166666666674,0.48012519205262927,-0.06315111195265921,0.5410292923270502,139
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3654513888888889,0.4159108664405331,-0.23305767506338518,0.022304568001464686,140
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5264756944444444,0.5891725383377896,0.04585973606085966,0.6572744332752125,141
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.517361111111111,0.5295211078357742,0.03007195807269486,0.7711661151309266,142
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3619791666666667,0.41805535905699964,-0.2390720666779242,0.01898323962405809,143
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4370659722222222,0.47272328524704843,-0.10901084801351887,0.2903988995156784,144
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.49652777777777773,0.4911605485623184,-0.006014391614538973,0.9536232999242508,145
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6128472222222222,0.6342777212287041,0.19546772747251662,0.05632008857468819,146
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5203993055555555,0.5431169156157,0.03533455073541646,0.7325178908684901,147
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5334201388888888,0.5790359281543165,0.057888519289937615,0.5753228635884016,148
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5876736111111112,0.5489340333776552,0.15186338826710907,0.13966457410354077,149
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.55078125,0.5806334951653003,0.08796047736263247,0.3941047636101395,150
