embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
balanced_future::cycle151_rank14_obj1,cycle151_rank14_obj1,balanced_future,151.0,future8_positive,1.0,3,3.5583100698130856
balanced_future::cycle151_rank14_obj3,cycle151_rank14_obj3,balanced_future,151.0,future8_positive,1.0,0,4.1248640412421445
balanced_future::cycle151_rank14_obj2,cycle151_rank14_obj2,balanced_future,151.0,future8_positive,1.0,6,3.063138558146457
balanced_future::cycle152_rank15_obj3,cycle152_rank15_obj3,balanced_future,152.0,future8_positive,1.0,3,6.255125833115414
balanced_future::cycle152_rank15_obj1,cycle152_rank15_obj1,balanced_future,152.0,future8_positive,1.0,3,5.6757575179276625
balanced_future::cycle152_rank15_obj2,cycle152_rank15_obj2,balanced_future,152.0,future8_positive,1.0,6,2.823770924538521
balanced_future::cycle153_rank17_obj3,cycle153_rank17_obj3,balanced_future,153.0,future8_positive,1.0,7,9.568803619044086
balanced_future::cycle153_rank17_obj1,cycle153_rank17_obj1,balanced_future,153.0,future8_positive,1.0,7,5.733375940083161
balanced_future::cycle153_rank17_obj2,cycle153_rank17_obj2,balanced_future,153.0,future8_positive,1.0,6,5.732239779511735
balanced_future::cycle154_rank16_obj3,cycle154_rank16_obj3,balanced_future,154.0,future8_positive,1.0,7,10.207617623171657
balanced_future::cycle154_rank16_obj1,cycle154_rank16_obj1,balanced_future,154.0,future8_positive,1.0,7,3.8696771694362853
balanced_future::cycle154_rank16_obj2,cycle154_rank16_obj2,balanced_future,154.0,future8_positive,1.0,6,4.083471910796658
balanced_future::cycle155_rank19_obj1,cycle155_rank19_obj1,balanced_future,155.0,future8_positive,1.0,7,4.305435999130984
balanced_future::cycle155_rank19_obj2,cycle155_rank19_obj2,balanced_future,155.0,future8_positive,1.0,7,4.742225876706974
balanced_future::cycle155_rank19_obj3,cycle155_rank19_obj3,balanced_future,155.0,future8_positive,1.0,6,4.246916537741913
balanced_future::cycle158_rank12_obj2,cycle158_rank12_obj2,balanced_future,158.0,future8_negative,0.0,1,3.7369246719608067
balanced_future::cycle158_rank12_obj1,cycle158_rank12_obj1,balanced_future,158.0,future8_negative,0.0,0,4.41581956726788
balanced_future::cycle158_rank12_obj3,cycle158_rank12_obj3,balanced_future,158.0,future8_negative,0.0,2,7.318807128596319
