anchor_feature,mechanism_feature,n,spearman_rho,spearman_p,source_residual_spearman_rho,source_residual_spearman_p,mechanism_source_eta2
particle_vs_context_mean_diff_positive_fraction,rollout_residual_score,72,0.020754185240473438,0.8626187228881506,0.08667668076391821,0.4690852109679103,0.18296124426744398
particle_vs_context_mean_diff_positive_fraction,median_abs_apparent_D_um2_per_s,72,0.015998354795657234,0.8938903219185146,0.030190392334405975,0.8012359130974928,0.4074724516460082
particle_vs_context_mean_diff_positive_fraction,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,-0.012099867934430344,0.9196476571061191,-0.048697295950912836,0.684581232301388,0.11844193941802596
particle_vs_context_mean_diff_positive_fraction,diffusion_guardrail_score,72,0.01078958811800139,0.9283245819061949,0.06989172383172981,0.5596336098242748,0.05329567208691489
particle_vs_context_mean_diff_positive_fraction,physics_consistency_score,72,-0.0078940314866337,0.9475276760109339,-0.13561537110982896,0.25601860310472657,0.36098088820225727
particle_vs_context_mean_diff_positive_fraction,particle_mean_last_minus_first,172,-0.0047179656234272935,0.9510209882637002,0.10772340480453434,0.15955378154821043,0.5181653710998927
particle_vs_context_mean_diff_positive_fraction,median_apparent_D_um2_per_s,72,0.007295508607524178,0.9515011160502022,-0.08207409429929129,0.49309718945748254,0.3109525674749584
particle_vs_context_mean_diff_positive_fraction,threshold_sensitivity_iqr_over_median_abs,72,0.005985228791095224,0.9602037138576334,0.03731957346667775,0.7556232040850077,0.09961398275241223
particle_vs_context_mean_diff_positive_fraction,axis_step,72,-0.0031568145603454115,0.9790039254809649,-0.07519868349642873,0.5301320268026753,0.1399828220065162
particle_vs_context_mean_diff_positive_fraction,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.0005014651149295998,0.9966643723056995,0.10301103482544383,0.38919738119709407,0.19912030712018058
