feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
all_physics_plus_qc,random_forest,0.47916666666666663,0.375,0.48785103785103784,4,16
physics_no_selection_qc,logistic_l2,0.3645833333333333,0.28125,0.42997742997743,4,16
physics_no_selection_qc,random_forest,0.4427083333333333,0.3333333333333333,0.4650412087912088,4,16
all_physics_plus_qc,logistic_l2,0.41666666666666663,0.32291666666666663,0.47513065638065644,4,17
all_physics_plus_qc,random_forest,0.33854166666666663,0.23958333333333334,0.4170260295260295,4,17
physics_no_selection_qc,logistic_l2,0.4270833333333333,0.32291666666666663,0.4724753256003256,4,17
physics_no_selection_qc,random_forest,0.3645833333333333,0.27083333333333337,0.4295447607947608,4,17
all_physics_plus_qc,logistic_l2,0.6302083333333333,0.6145833333333334,0.6656428062678063,4,18
all_physics_plus_qc,random_forest,0.5729166666666667,0.640625,0.6247940716690716,4,18
physics_no_selection_qc,logistic_l2,0.5729166666666666,0.546875,0.5757453194953195,4,18
physics_no_selection_qc,random_forest,0.609375,0.6145833333333334,0.6151364838864839,4,18
all_physics_plus_qc,logistic_l2,0.44791666666666663,0.43229166666666663,0.5487963425463425,4,19
all_physics_plus_qc,random_forest,0.4375,0.3541666666666667,0.4959792522292522,4,19
physics_no_selection_qc,logistic_l2,0.5572916666666666,0.5052083333333333,0.5773897398897399,4,19
physics_no_selection_qc,random_forest,0.46354166666666663,0.421875,0.5514919108669109,4,19
all_physics_plus_qc,logistic_l2,0.5260416666666666,0.5729166666666667,0.6008292633292633,4,20
all_physics_plus_qc,random_forest,0.6145833333333333,0.671875,0.6607155575905576,4,20
physics_no_selection_qc,logistic_l2,0.4895833333333333,0.5625,0.6013583638583638,4,20
physics_no_selection_qc,random_forest,0.6614583333333333,0.6666666666666666,0.6748855311355311,4,20
all_physics_plus_qc,logistic_l2,0.40625,0.375,0.44368339993339995,4,21
all_physics_plus_qc,random_forest,0.421875,0.328125,0.43899919524919523,4,21
physics_no_selection_qc,logistic_l2,0.4114583333333333,0.4791666666666667,0.5106158887408887,4,21
physics_no_selection_qc,random_forest,0.4479166666666667,0.33333333333333337,0.44470356032856034,4,21
all_physics_plus_qc,logistic_l2,0.4895833333333333,0.5677083333333334,0.5890209327709328,4,22
all_physics_plus_qc,random_forest,0.2708333333333333,0.23437499999999997,0.4054877992377992,4,22
physics_no_selection_qc,logistic_l2,0.44791666666666663,0.45833333333333337,0.5429736929736929,4,22
physics_no_selection_qc,random_forest,0.23958333333333331,0.21874999999999997,0.41879902504902505,4,22
all_physics_plus_qc,logistic_l2,0.5520833333333333,0.5364583333333334,0.6285481879231879,4,23
all_physics_plus_qc,random_forest,0.5052083333333333,0.5104166666666667,0.5510083666333666,4,23
physics_no_selection_qc,logistic_l2,0.6041666666666666,0.5833333333333334,0.6536689005439005,4,23
physics_no_selection_qc,random_forest,0.4427083333333333,0.484375,0.5375749250749251,4,23
all_physics_plus_qc,logistic_l2,0.5677083333333334,0.4791666666666667,0.5601241351241351,4,24
all_physics_plus_qc,random_forest,0.6041666666666667,0.65625,0.7114583333333333,4,24
physics_no_selection_qc,logistic_l2,0.5416666666666666,0.44791666666666663,0.505340145965146,4,24
physics_no_selection_qc,random_forest,0.6302083333333333,0.6458333333333334,0.7289772727272728,4,24
all_physics_plus_qc,logistic_l2,0.5833333333333333,0.5520833333333334,0.5934536528286528,4,25
all_physics_plus_qc,random_forest,0.6197916666666667,0.6614583333333334,0.6227360602360602,4,25
physics_no_selection_qc,logistic_l2,0.578125,0.5677083333333333,0.6153181309431309,4,25
physics_no_selection_qc,random_forest,0.6822916666666667,0.6927083333333334,0.6543740981240981,4,25
all_physics_plus_qc,logistic_l2,0.4270833333333333,0.4322916666666667,0.5155087967587968,4,26
all_physics_plus_qc,random_forest,0.5364583333333333,0.43229166666666663,0.515368080993081,4,26
physics_no_selection_qc,logistic_l2,0.484375,0.46354166666666663,0.5299475986975987,4,26
physics_no_selection_qc,random_forest,0.53125,0.375,0.4997835497835498,4,26
all_physics_plus_qc,logistic_l2,0.35416666666666663,0.2552083333333333,0.4178978428978429,4,27
all_physics_plus_qc,random_forest,0.4114583333333333,0.3645833333333333,0.4416825073075073,4,27
physics_no_selection_qc,logistic_l2,0.3125,0.22916666666666669,0.41119910182410185,4,27
physics_no_selection_qc,random_forest,0.390625,0.33854166666666663,0.43411553724053725,4,27
all_physics_plus_qc,logistic_l2,0.375,0.3229166666666667,0.4690730565730566,4,28
all_physics_plus_qc,random_forest,0.515625,0.5625,0.5911401098901099,4,28
physics_no_selection_qc,logistic_l2,0.4375,0.328125,0.4636051448551448,4,28
physics_no_selection_qc,random_forest,0.44791666666666663,0.5208333333333333,0.5699786324786325,4,28
